order_id,user_id,purchase_datetime,country,purchase_channel,brand,category,subcategory,color,material,base_price,discount_pct,final_price,gender,age,height_cm,weight_kg,bmi,body_shape,chest_bust_cm,waist_cm,hip_cm,size_system,recommended_size,purchased_size,fit_feedback,fit_score,returned,return_reason
ORD250802239,U43345,2023-10-23 19:40:32,UK,Web,Levi's,Bottoms,Shorts,Brown,Blends,2387.64,20,1910.11,Female,36,161.6,65.3,25.0,Pear,89.9,70.9,94.1,Alpha,S,S,Perfect,5,0,None
ORD250802465,U60334,2024-09-14 06:04:32,India,Store,Mango,Accessories,Backpack,Grey,Rayon,3061.13,30,2142.79,Female,26,161.8,61.6,23.5,Rectangle,87.9,69.5,92.4,Alpha,XS,XS,Perfect,5,0,None
ORD250809648,U91318,2025-03-03 05:00:34,India,App,Allen Solly,Ethnicwear,Saree,Navy,Rayon,7651.78,25,5738.84,Male,27,180.6,81.9,25.1,Plus,103.1,84.1,98.2,Alpha,M,XL,Too Large,1,1,Size too large
ORD250810476,U55234,2023-11-15 21:37:34,USA,Store,FabIndia,Bottoms,Shorts,Maroon,Linen,1388.52,20,1110.82,Unisex,32,163.7,62.2,23.2,Hourglass,88.5,70.0,93.1,Alpha,S,XS,Too Small,1,1,Size too small
ORD250806376,U36901,2023-10-07 05:05:33,India,Marketplace,Roadster,Footwear,Loafers,Blue,Polyester,6139.68,5,5832.7,Female,19,165.3,58.9,21.6,Hourglass,87.0,69.0,92.0,Numeric,10,10,Perfect,5,0,None
ORD250810540,U75761,2023-12-31 19:28:34,India,Store,FabIndia,Footwear,Heels,Yellow,Linen,3052.68,15,2594.78,Male,40,170.4,88.0,30.3,Athletic,103.7,84.2,97.0,Numeric,5,5,Too Small,1,1,Size too small
ORD250802013,U21558,2024-05-17 19:25:32,Canada,Web,Mango,Outerwear,Jacket,Red,Leather,3070.76,0,3070.76,Unisex,29,173.6,72.3,24.0,Hourglass,94.8,74.9,99.6,Alpha,S,S,Perfect,5,0,None
ORD250805609,U60264,2024-09-11 05:13:33,India,App,W,Outerwear,Coat,Black,Rayon,6601.15,30,4620.8,Male,28,167.4,84.1,30.0,Rectangle,101.7,82.5,95.1,Alpha,M,M,Perfect,5,0,None
ORD250811129,U19212,2025-06-13 02:50:34,USA,Marketplace,Tommy Hilfiger,Bottoms,Chinos,Grey,Leather,1921.03,35,1248.67,Male,35,180.1,53.6,16.5,Plus,92.5,76.1,91.1,Alpha,S,XS,Slightly Tight,2,1,Fit was slightly tight
ORD250807863,U59290,2025-02-02 20:11:33,India,Web,H&M,Ethnicwear,Sherwani,Yellow,Denim,2425.61,35,1576.65,Male,46,172.3,89.7,30.2,Apple,104.6,84.9,97.9,Alpha,M,M,Perfect,5,0,None
ORD250811685,U79863,2023-10-02 04:26:34,UK,Store,Tommy Hilfiger,Accessories,Backpack,Navy,Denim,3947.54,5,3750.16,Unisex,36,185.2,75.9,22.1,Rectangle,98.3,77.9,103.9,Alpha,S,M,Slightly Loose,3,1,Fit was slightly loose
ORD250801180,U41149,2025-04-09 00:26:32,USA,Web,Gap,Dresses,Fit & Flare,Black,Synthetic,2458.29,50,1229.14,Female,27,166.4,71.6,25.9,Rectangle,93.6,73.7,97.8,Alpha,S,M,Slightly Loose,3,1,Fit was slightly loose
ORD250803717,U82697,2023-09-04 03:35:33,India,Web,Mango,Activewear,Track Pants,Yellow,Silk,3045.23,20,2436.18,Male,35,173.6,62.3,20.7,Plus,93.9,76.9,90.9,Alpha,S,S,Perfect,5,0,None
ORD250804749,U20333,2024-07-01 02:55:33,Canada,Store,Under Armour,Tops,Polo,Brown,Rayon,1588.62,15,1350.33,Male,34,170.1,76.0,26.3,Petite,98.7,80.4,93.6,Alpha,M,L,Slightly Loose,3,1,Fit was slightly loose
ORD250806895,U46096,2025-07-18 04:47:33,India,Marketplace,Under Armour,Outerwear,Blazer,Yellow,Linen,3470.05,5,3296.55,Female,21,153.4,58.5,24.9,Pear,85.3,67.3,89.3,Alpha,XS,XS,Perfect,5,0,None
ORD250800555,U26228,2024-12-20 06:24:32,UK,App,FabIndia,Accessories,Socks,Red,Blends,2295.01,40,1377.01,Male,31,174.1,75.2,24.8,Rectangle,99.1,80.9,94.5,Alpha,M,XL,Too Large,1,1,Size too large
ORD250803470,U40482,2024-07-15 03:25:33,India,Store,Allen Solly,Dresses,Bodycon,Blue,Silk,4413.33,15,3751.33,Female,34,162.9,67.9,25.6,Petite,91.4,72.0,95.5,Alpha,S,XS,Too Small,1,1,Size too small
ORD250801428,U36079,2024-09-14 00:13:32,India,Web,Van Heusen,Accessories,Backpack,Purple,Linen,2919.85,15,2481.87,Male,34,178.8,75.5,23.6,Hourglass,100.3,81.9,96.1,Alpha,M,XL,Too Large,1,1,Size too large
ORD250810138,U24770,2024-08-31 21:33:34,India,Store,Mango,Activewear,Running Shorts,Black,Leather,2767.3,25,2075.48,Male,26,162.3,64.6,24.5,Rectangle,92.3,75.3,88.0,Alpha,S,XS,Slightly Tight,2,1,Fit was slightly tight
ORD250801217,U16798,2023-09-16 01:13:32,India,App,Zara,Activewear,Tank,Purple,Wool,1694.36,10,1524.92,Female,37,161.7,58.9,22.5,Apple,86.4,68.4,91.2,Alpha,XS,XS,Too Small,1,1,Size too small
ORD250805196,U83635,2025-05-16 18:10:33,India,Web,Mango,Bottoms,Jeans,Green,Linen,2556.93,10,2301.24,Female,16,165.2,49.7,18.2,Rectangle,82.3,65.6,88.0,Alpha,XS,XS,Slightly Tight,2,1,Fit was slightly tight
ORD250803848,U18738,2024-10-10 21:57:33,India,Store,Uniqlo,Activewear,Track Pants,Yellow,Wool,2254.91,15,1916.67,Unisex,41,164.9,65.7,24.2,Athletic,90.4,71.4,94.9,Alpha,S,XS,Slightly Tight,2,1,Fit was slightly tight
ORD250801797,U27741,2024-10-25 18:44:32,India,App,Roadster,Activewear,Track Pants,Navy,Synthetic,3320.31,25,2490.23,Male,25,180.5,85.5,26.2,Inverted Triangle,104.4,85.0,99.1,Alpha,M,S,Slightly Tight,2,1,Fit was slightly tight
ORD250804641,U13525,2024-11-11 00:40:33,UK,App,Marks & Spencer,Accessories,Backpack,Red,Rayon,1167.84,40,700.7,Female,30,174.0,48.8,16.1,Pear,84.0,67.2,90.4,Alpha,XS,M,Too Large,1,1,Size too large
ORD250805971,U39877,2024-08-10 05:45:33,India,Web,Zara,Dresses,Fit & Flare,Yellow,Rayon,3263.44,5,3100.27,Male,36,174.4,64.3,21.1,Plus,94.9,77.7,91.7,Alpha,S,M,Slightly Loose,3,1,Fit was slightly loose
ORD250804261,U55990,2025-03-23 19:23:33,India,Web,Nike,Footwear,Loafers,Black,Wool,3747.78,10,3373.0,Female,34,170.3,65.3,22.5,Petite,91.0,72.0,96.0,Numeric,5,6,Slightly Loose,3,1,Fit was slightly loose
ORD250808110,U56653,2024-05-12 01:06:33,UAE,App,Levi's,Bottoms,Shorts,Blue,Cotton,2278.38,25,1708.79,Female,38,160.3,48.1,18.7,Rectangle,80.4,64.0,85.8,Alpha,XS,S,Slightly Loose,3,1,Fit was slightly loose
ORD250803034,U56255,2024-10-06 20:43:33,India,App,Forever 21,Tops,Polo,White,Rayon,1720.54,0,1720.54,Male,18,179.6,85.0,26.4,Pear,104.0,84.7,98.7,Alpha,M,M,Perfect,5,0,None
ORD250804981,U78139,2023-09-15 22:22:33,India,Web,Roadster,Ethnicwear,Kurta,Black,Blends,5520.4,30,3864.28,Male,19,171.7,81.3,27.6,Rectangle,101.1,82.3,95.5,Alpha,M,M,Perfect,5,0,None
ORD250805141,U92036,2024-10-30 02:48:33,India,App,Forever 21,Bottoms,Trousers,Black,Rayon,1997.24,30,1398.07,Male,25,167.5,59.0,21.0,Rectangle,91.0,74.5,88.0,Alpha,S,M,Slightly Loose,3,1,Fit was slightly loose
ORD250811705,U93757,2025-07-04 03:30:34,UAE,Web,Forever 21,Bottoms,Trousers,Red,Leather,2268.01,50,1134.01,Male,26,180.9,76.3,23.3,Plus,101.1,82.6,96.9,Alpha,M,L,Slightly Loose,3,1,Fit was slightly loose
ORD250804301,U52087,2024-04-22 04:55:33,India,App,Tommy Hilfiger,Footwear,Heels,Beige,Rayon,10982.98,15,9335.53,Female,21,173.7,86.1,28.5,Apple,101.2,79.5,105.1,Numeric,5,6,Slightly Loose,3,1,Fit was slightly loose
ORD250803027,U46395,2024-05-17 21:55:33,UK,Store,Puma,Accessories,Socks,Pink,Synthetic,3348.44,15,2846.17,Male,40,171.2,84.6,28.9,Hourglass,102.4,83.2,96.2,Alpha,M,XL,Too Large,1,1,Size too large
ORD250803831,U23200,2024-04-09 00:49:33,UK,Web,FabIndia,Activewear,Sports Bra,Green,Wool,1236.51,10,1112.86,Male,19,180.9,82.3,25.1,Rectangle,103.3,84.2,98.4,Alpha,M,XL,Too Large,1,1,Size too large
ORD250809952,U35812,2024-11-25 22:11:34,Australia,Web,U.S. Polo Assn.,Dresses,Fit & Flare,Olive,Silk,2934.83,30,2054.38,Male,31,174.0,61.0,20.1,Plus,93.5,76.6,90.7,Alpha,S,L,Too Large,1,1,Size too large
ORD250800611,U94711,2025-02-19 23:52:32,India,Store,Roadster,Bottoms,Leggings,Purple,Silk,2466.35,25,1849.76,Female,34,168.0,77.7,27.5,Petite,96.8,76.1,100.7,Alpha,S,XS,Slightly Tight,2,1,Fit was slightly tight
ORD250810606,U10416,2023-12-21 20:31:34,India,Web,Uniqlo,Bottoms,Trousers,Maroon,Cotton,2036.74,30,1425.72,Male,28,168.6,95.1,33.5,Rectangle,106.5,86.2,98.5,Alpha,L,XL,Slightly Loose,3,1,Fit was slightly loose
ORD250805861,U13257,2025-06-26 00:36:33,India,Web,Van Heusen,Bottoms,Shorts,Brown,Blends,1790.27,35,1163.68,Male,18,168.5,84.6,29.8,Hourglass,102.0,82.8,95.5,Alpha,M,M,Perfect,5,0,None
ORD250806785,U48766,2023-10-26 01:23:33,India,Web,Van Heusen,Tops,Shirt,Red,Cotton,1722.4,35,1119.56,Female,16,162.7,63.7,24.1,Petite,89.1,70.4,93.6,Alpha,S,L,Too Large,1,1,Size too large
ORD250805062,U47097,2023-10-01 19:45:33,India,Marketplace,H&M,Tops,Blouse,Red,Linen,903.38,15,767.87,Male,23,174.2,74.8,24.6,Apple,99.0,80.8,94.4,Alpha,M,S,Slightly Tight,2,1,Fit was slightly tight
ORD250809023,U43570,2025-04-04 02:13:34,India,Web,Allen Solly,Tops,Polo,Olive,Linen,1155.68,20,924.54,Female,26,160.5,58.8,22.8,Plus,86.2,68.2,90.9,Alpha,XS,XS,Too Small,1,1,Size too small
ORD250809698,U42090,2024-05-06 04:52:34,India,App,U.S. Polo Assn.,Bottoms,Chinos,Brown,Silk,2473.41,25,1855.06,Unisex,37,169.7,73.7,25.6,Apple,95.0,74.9,99.3,Alpha,S,XS,Slightly Tight,2,1,Fit was slightly tight
ORD250806114,U25270,2024-07-11 06:53:33,India,Marketplace,Forever 21,Bottoms,Shorts,Red,Denim,1399.62,25,1049.71,Male,32,180.9,66.7,20.4,Petite,97.6,79.9,94.6,Alpha,M,S,Slightly Tight,2,1,Fit was slightly tight
ORD250800188,U51800,2025-03-03 04:52:32,India,App,H&M,Footwear,Sneakers,Black,Rayon,8887.84,20,7110.27,Male,38,170.1,88.5,30.6,Petite,103.9,84.3,97.0,Numeric,7,7,Perfect,5,0,None
ORD250806902,U19252,2024-12-02 23:17:33,India,Web,Biba,Bottoms,Jeans,Red,Leather,1940.57,35,1261.37,Female,23,176.8,74.8,23.9,Apple,96.4,76.2,101.3,Alpha,S,L,Too Large,1,1,Size too large
ORD250809653,U12856,2023-12-13 19:51:34,India,Store,W,Dresses,Maxi,Grey,Cotton,2699.66,30,1889.76,Male,48,163.4,67.7,25.4,Inverted Triangle,93.9,76.6,89.3,Alpha,S,XS,Slightly Tight,2,1,Fit was slightly tight
ORD250804414,U98003,2023-12-22 05:22:33,India,Store,U.S. Polo Assn.,Bottoms,Chinos,Blue,Leather,1942.83,5,1845.69,Male,30,166.4,61.3,22.1,Rectangle,91.7,75.0,88.3,Alpha,S,XS,Slightly Tight,2,1,Fit was slightly tight
ORD250806009,U75465,2025-02-17 20:10:33,UAE,App,Roadster,Outerwear,Jacket,Grey,Synthetic,4505.05,30,3153.53,Male,32,183.3,97.0,28.9,Hourglass,109.1,88.7,102.6,Alpha,L,M,Slightly Tight,2,1,Fit was slightly tight
ORD250810585,U11589,2025-06-28 07:29:34,India,Marketplace,Nike,Activewear,Running Shorts,Blue,Wool,2851.25,40,1710.75,Male,43,172.3,70.3,23.7,Inverted Triangle,96.8,79.0,92.7,Alpha,M,XS,Too Small,1,1,Size too small
ORD250803831,U23200,2024-04-09 00:49:33,UK,Web,FabIndia,Activewear,Sports Bra,Green,Wool,1236.51,10,1112.86,Male,19,180.9,82.3,25.1,Rectangle,103.3,84.2,98.4,Alpha,M,XL,Too Large,1,1,Size too large
ORD250803353,U93519,2024-02-11 01:44:33,Canada,Store,Adidas,Accessories,Scarf,Navy,Silk,3667.87,0,3667.87,Unisex,29,155.2,53.9,22.4,Rectangle,82.8,65.6,87.4,Alpha,XS,XS,Perfect,5,0,None
ORD250803487,U45575,2023-10-10 01:34:33,Canada,App,FabIndia,Footwear,Running Shoes,Black,Denim,9906.28,15,8420.34,Female,16,170.7,59.1,20.3,Apple,88.1,70.0,93.5,Numeric,8,8,Perfect,5,0,None
ORD250806903,U64285,2023-11-13 20:41:33,USA,App,Uniqlo,Bottoms,Shorts,Navy,Cotton,2856.17,30,1999.32,Female,50,164.2,68.3,25.3,Petite,91.7,72.3,96.0,Alpha,S,M,Slightly Loose,3,1,Fit was slightly loose
ORD250807013,U37594,2025-05-22 03:54:33,India,App,Van Heusen,Dresses,Maxi,Blue,Synthetic,4733.71,35,3076.91,Female,35,164.2,53.0,19.7,Hourglass,83.7,66.6,89.1,Alpha,XS,XS,Perfect,5,0,None
ORD250806554,U77124,2024-11-21 18:28:33,UK,Web,Gap,Tops,T-Shirt,Yellow,Linen,1290.54,20,1032.43,Male,30,174.5,60.2,19.8,Hourglass,93.3,76.5,90.7,Alpha,S,M,Slightly Loose,3,1,Fit was slightly loose
ORD250802684,U45588,2025-05-18 20:34:32,Singapore,App,Roadster,Outerwear,Cardigan,Beige,Wool,4963.16,35,3226.05,Female,20,162.7,46.2,17.5,Hourglass,79.9,63.8,85.7,Alpha,XS,M,Too Large,1,1,Size too large
ORD250807301,U62396,2024-09-08 00:13:33,India,Store,Forever 21,Tops,Sweatshirt,Blue,Synthetic,1191.94,15,1013.15,Male,21,176.9,74.9,23.9,Plus,99.6,81.3,95.3,Alpha,M,M,Perfect,5,0,None
ORD250811247,U54949,2024-12-18 19:57:34,Singapore,Web,U.S. Polo Assn.,Activewear,Track Pants,Blue,Cotton,1916.62,30,1341.63,Female,20,162.0,69.8,26.6,Inverted Triangle,92.3,72.6,96.2,Alpha,S,M,Slightly Loose,3,1,Fit was slightly loose
ORD250803206,U74983,2024-03-19 18:28:33,USA,Web,Mango,Ethnicwear,Kurti,Purple,Polyester,9185.41,25,6889.06,Female,36,154.0,63.9,26.9,Inverted Triangle,88.5,69.6,92.2,Alpha,XS,XS,Perfect,5,0,None
ORD250807647,U34129,2024-10-08 23:16:33,India,Marketplace,W,Footwear,Sneakers,Pink,Synthetic,3677.7,5,3493.81,Male,21,165.8,70.6,25.7,Plus,95.6,77.9,90.8,Numeric,11,9,Too Small,1,1,Size too small
ORD250808558,U54599,2024-09-30 03:24:34,India,Store,Tommy Hilfiger,Tops,Henley,Blue,Synthetic,2179.62,25,1634.71,Male,18,163.7,92.8,34.6,Pear,105.2,85.0,96.9,Alpha,M,S,Slightly Tight,2,1,Fit was slightly tight
ORD250807907,U68017,2025-05-17 06:07:33,Singapore,Web,Marks & Spencer,Ethnicwear,Sherwani,Brown,Blends,6572.05,25,4929.04,Female,37,152.6,53.1,22.8,Hourglass,82.0,64.9,86.4,Alpha,XS,M,Too Large,1,1,Size too large
ORD250808574,U51132,2025-02-24 22:58:34,India,App,Mango,Dresses,Wrap,Yellow,Wool,5579.05,40,3347.43,Male,29,184.7,86.0,25.2,Plus,105.4,86.0,100.5,Alpha,L,XXL,Too Large,1,1,Size too large
ORD250801095,U13164,2024-03-07 02:44:32,India,App,Puma,Footwear,Boots,Maroon,Blends,11004.39,20,8803.51,Male,33,171.4,71.3,24.3,Hourglass,97.0,79.2,92.7,Numeric,11,11,Perfect,5,0,None
ORD250805059,U48482,2025-04-06 04:09:33,India,Web,Gap,Tops,Polo,Pink,Leather,866.63,20,693.3,Female,18,149.7,61.1,27.3,Pear,86.7,68.1,90.1,Alpha,XS,S,Slightly Loose,3,1,Fit was slightly loose
ORD250811711,U84495,2023-12-02 05:22:34,Canada,App,Van Heusen,Outerwear,Blazer,Green,Polyester,4212.22,15,3580.39,Unisex,30,154.5,71.4,29.9,Athletic,93.0,72.8,96.0,Alpha,S,XS,Slightly Tight,2,1,Fit was slightly tight
ORD250808657,U45000,2024-03-12 23:10:34,India,Web,Forever 21,Tops,Blouse,Grey,Synthetic,1372.89,35,892.38,Male,23,172.2,54.3,18.3,Apple,90.3,74.2,88.3,Alpha,S,S,Perfect,5,0,None
ORD250810861,U30837,2025-05-26 06:59:34,India,Web,Roadster,Tops,Shirt,Pink,Cotton,1129.86,15,960.38,Male,32,163.6,88.6,33.1,Athletic,103.3,83.6,95.6,Alpha,M,XL,Too Large,1,1,Size too large
ORD250807092,U69710,2024-10-30 02:27:33,India,App,Forever 21,Bottoms,Skirt,Blue,Cotton,2239.68,0,2239.68,Female,28,167.7,43.3,15.4,Plus,79.6,63.8,86.0,Alpha,XS,XS,Perfect,5,0,None
ORD250807798,U17210,2024-06-18 01:06:33,India,Web,Nike,Dresses,Sheath,Blue,Polyester,2098.14,30,1468.7,Male,23,175.1,89.2,29.1,Rectangle,104.8,85.2,98.5,Alpha,M,XL,Too Large,1,1,Size too large
ORD250803239,U62671,2025-05-07 03:06:33,India,Store,Uniqlo,Activewear,Running Shorts,White,Cotton,2079.84,20,1663.87,Female,31,161.9,54.7,20.9,Plus,84.2,66.9,89.3,Alpha,XS,XS,Too Small,1,1,Size too small
ORD250804558,U81200,2025-01-25 22:09:33,Germany,App,Uniqlo,Tops,Polo,Purple,Leather,1032.1,25,774.07,Female,23,164.8,57.1,21.0,Athletic,86.0,68.2,91.1,Alpha,XS,M,Too Large,1,1,Size too large
ORD250803012,U32351,2024-09-23 05:32:33,India,Web,Adidas,Bottoms,Chinos,Black,Synthetic,1763.72,5,1675.53,Male,25,179.0,55.5,17.3,Inverted Triangle,92.8,76.3,91.1,Alpha,S,M,Slightly Loose,3,1,Fit was slightly loose
ORD250810566,U57956,2023-11-10 06:47:34,India,Web,Nike,Footwear,Heels,Beige,Polyester,8235.38,0,8235.38,Male,20,167.6,80.6,28.7,Hourglass,100.2,81.4,94.2,Numeric,6,7,Slightly Loose,3,1,Fit was slightly loose
ORD250806572,U46577,2025-01-25 05:51:33,Singapore,Web,Forever 21,Activewear,Tank,Pink,Silk,2034.71,15,1729.5,Female,32,174.8,62.7,20.5,Plus,90.6,71.9,96.1,Alpha,S,M,Slightly Loose,3,1,Fit was slightly loose
ORD250811523,U61838,2024-08-28 23:51:34,India,Store,Puma,Footwear,Boots,Red,Denim,9820.05,25,7365.04,Male,46,188.6,83.5,23.5,Pear,105.5,86.2,101.1,Numeric,6,6,Perfect,5,0,None
ORD250804793,U75290,2023-10-02 04:44:33,UK,Marketplace,Nike,Activewear,Yoga Pants,Brown,Leather,3472.73,10,3125.46,Male,19,175.1,87.2,28.4,Apple,104.0,84.6,98.0,Alpha,M,XS,Too Small,1,1,Size too small
ORD250811923,U72876,2024-12-22 20:22:34,Australia,Marketplace,Biba,Bottoms,Chinos,White,Synthetic,2260.33,20,1808.26,Female,38,174.3,77.1,25.4,Rectangle,97.1,76.6,101.7,Alpha,S,S,Perfect,5,0,None
ORD250801756,U34532,2024-06-19 00:04:32,India,App,Mango,Dresses,Maxi,Olive,Polyester,5812.41,70,1743.72,Male,50,175.8,59.8,19.3,Petite,93.5,76.7,91.1,Alpha,S,L,Too Large,1,1,Size too large
ORD250801433,U96580,2024-09-24 06:53:32,India,App,Roadster,Footwear,Sneakers,Yellow,Leather,5679.02,35,3691.36,Female,20,160.0,79.1,30.9,Apple,97.3,76.1,100.3,Numeric,11,10,Slightly Tight,2,1,Fit was slightly tight
ORD250804905,U28466,2025-03-04 05:51:33,India,App,W,Ethnicwear,Lehenga,Blue,Leather,5412.66,35,3518.23,Female,37,159.8,69.8,27.3,Rectangle,92.2,72.4,95.9,Alpha,S,XS,Slightly Tight,2,1,Fit was slightly tight
ORD250801504,U23272,2024-12-16 01:08:32,USA,Store,Calvin Klein,Dresses,Fit & Flare,Grey,Cotton,2339.48,0,2339.48,Male,16,195.3,77.2,20.2,Apple,105.3,86.3,102.1,Alpha,L,M,Slightly Tight,2,1,Fit was slightly tight
ORD250800666,U26334,2024-11-11 20:32:32,India,Web,Allen Solly,Dresses,Wrap,Brown,Polyester,1624.76,15,1381.05,Female,24,154.7,54.3,22.7,Pear,83.0,65.7,87.5,Alpha,XS,S,Slightly Loose,3,1,Fit was slightly loose
ORD250800530,U49131,2024-08-07 01:49:32,India,App,Marks & Spencer,Footwear,Sandals,Brown,Blends,5237.99,20,4190.39,Female,34,174.9,56.3,18.4,Inverted Triangle,87.7,69.9,93.6,Numeric,12,12,Perfect,5,0,None
ORD250809667,U53171,2024-03-10 04:30:34,USA,Marketplace,Adidas,Ethnicwear,Kurta,Yellow,Cotton,7067.76,30,4947.43,Male,23,177.0,85.0,27.1,Apple,103.5,84.3,97.9,Alpha,M,L,Slightly Loose,3,1,Fit was slightly loose
ORD250800264,U12348,2024-03-21 02:56:32,India,Web,FabIndia,Footwear,Running Shoes,Pink,Rayon,5426.76,0,5426.76,Female,33,153.3,56.9,24.2,Inverted Triangle,84.3,66.6,88.5,Numeric,6,5,Slightly Tight,2,1,Fit was slightly tight
ORD250805833,U69546,2024-12-06 04:27:33,USA,Web,Mango,Bottoms,Leggings,Maroon,Rayon,1918.75,20,1535.0,Male,26,174.9,88.8,29.0,Apple,104.6,85.0,98.3,Alpha,M,XS,Too Small,1,1,Size too small
ORD250800577,U38986,2025-01-15 17:49:32,UAE,App,U.S. Polo Assn.,Accessories,Belt,Red,Leather,1950.81,10,1755.73,Male,26,186.5,66.2,19.0,Inverted Triangle,99.0,81.3,96.5,Alpha,M,XL,Too Large,1,1,Size too large
ORD250803437,U75392,2025-06-02 19:46:33,India,App,Puma,Bottoms,Jeans,Yellow,Cotton,2566.21,10,2309.59,Male,23,158.7,68.1,27.0,Hourglass,93.3,76.0,88.1,Alpha,S,XS,Too Small,1,1,Size too small
ORD250804257,U46477,2023-09-20 00:21:33,India,App,Roadster,Ethnicwear,Lehenga,Red,Leather,4231.85,10,3808.67,Female,39,152.7,70.9,30.4,Pear,92.7,72.5,95.6,Alpha,S,XS,Slightly Tight,2,1,Fit was slightly tight
ORD250809624,U49413,2025-06-10 01:01:34,India,Web,Zara,Dresses,Fit & Flare,Blue,Denim,4264.62,10,3838.16,Unisex,42,167.6,66.4,23.6,Hourglass,91.1,72.0,95.8,Alpha,S,M,Slightly Loose,3,1,Fit was slightly loose
ORD250800555,U26228,2024-12-20 06:24:32,UK,App,FabIndia,Accessories,Socks,Red,Blends,2295.01,40,1377.01,Male,31,174.1,75.2,24.8,Rectangle,99.1,80.9,94.5,Alpha,M,XL,Too Large,1,1,Size too large
ORD250803553,U45345,2024-11-09 18:37:33,India,Web,Under Armour,Tops,Polo,Navy,Denim,1435.28,40,861.17,Male,31,168.8,85.8,30.1,Petite,102.6,83.3,96.0,Alpha,M,M,Perfect,5,0,None
ORD250808047,U95383,2023-12-11 18:54:33,India,Store,Allen Solly,Outerwear,Blazer,Black,Rayon,4410.53,25,3307.9,Female,29,157.4,46.5,18.8,Inverted Triangle,78.9,62.9,85.0,Alpha,XS,XS,Perfect,5,0,None
ORD250811812,U60322,2023-09-19 17:53:34,India,App,Gap,Bottoms,Leggings,Pink,Linen,1559.77,5,1481.78,Male,28,176.8,99.9,32.0,Petite,109.2,88.5,101.7,Alpha,L,XXL,Too Large,1,1,Size too large
ORD250800314,U12942,2025-06-21 19:53:32,India,App,Adidas,Outerwear,Coat,Navy,Synthetic,5258.31,25,3943.73,Male,40,167.7,83.8,29.8,Petite,101.6,82.5,95.1,Alpha,M,L,Slightly Loose,3,1,Fit was slightly loose
